region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,CENTRAL BOULEVARD,151,36-40,1,0819,3,3030000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,TREASURE ISLAND,1048.4,-,1,0917,3,20000000,Detached,04,Land,99 yrs lease commencing from 2006,
CCR,SHENTON WAY,44,46-50,1,1116,1,1306340,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,41-45,1,0121,3,3620660,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,98,21-25,1,1220,3,2000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,46-50,1,0720,3,3468000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0720,3,3260000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,364,51-55,1,0119,1,10080000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,47,36-40,1,1220,3,1088000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,82,46-50,1,0317,1,2000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,102,11-15,1,0317,2,1975000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,31-35,1,0916,1,1160000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,36-40,1,1117,1,3505260,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,11-15,1,0117,1,2730000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,41-45,1,1016,1,2319240,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,46-50,1,1216,2,2382000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,51-55,1,0918,1,1464000,Apartment,01,Strata,99 yrs lease commencing from 2011,1454000
CCR,SHENTON WAY,69,21-25,1,1216,1,1610750,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,45,11-15,1,1018,2,1350000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,36-40,1,0318,1,3349500,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,46-50,1,1216,1,2747800,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,26-30,1,0217,1,1689912,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,47,46-50,1,0216,1,1483000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,96,26-30,1,0218,2,2130000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,46-50,1,0317,1,1275660,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,41-45,1,0317,1,1261980,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,41-45,1,0816,1,1234200,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,11-15,1,0917,1,3150000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,45,06-10,1,1118,2,1150000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,21-25,1,1117,1,1906000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,26-30,1,0117,1,1634550,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,45,21-25,1,0218,1,1326528,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,41-45,1,0117,1,1260000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,45,06-10,1,0318,2,1050000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,11-15,1,0417,1,2790000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,36-40,1,0917,2,2380000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,21-25,1,0616,1,1098200,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,64,26-30,1,0217,2,1450000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,11-15,1,0517,1,2832000,Apartment,01,Strata,99 yrs lease commencing from 2011,
