street,refPeriod,psf75,median,psf25,district
ELLIOT ROAD,2018Q3,3.17,2.5,2.13,15
ELLIOT ROAD,2020Q1,3.0,2.73,2.52,15
ELLIOT ROAD,2019Q2,2.83,2.56,2.17,15
HILLVIEW AVENUE,2018Q3,2.1,2.01,1.93,23
HILLVIEW AVENUE,2020Q3,2.01,1.93,1.84,23
HILLVIEW AVENUE,2019Q1,2.05,1.93,1.86,23
HILLVIEW AVENUE,2019Q3,2.1,1.93,1.78,23
HILLVIEW AVENUE,2020Q1,1.94,1.91,1.82,23
HILLVIEW AVENUE,2019Q2,2.16,2.0,1.86,23
HILLVIEW AVENUE,2019Q4,2.13,1.95,1.86,23
ANG MO KIO AVENUE 2,2018Q4,3.82,3.14,3.0,20
ANG MO KIO AVENUE 2,2018Q1,3.95,3.05,2.8,20
ANG MO KIO AVENUE 2,2018Q3,3.57,3.1,2.84,20
ANG MO KIO AVENUE 2,2018Q2,3.16,2.97,2.8,20
ANG MO KIO AVENUE 2,2019Q4,3.91,3.39,3.07,20
ANG MO KIO AVENUE 2,2020Q2,3.95,3.14,2.99,20
ANG MO KIO AVENUE 2,2019Q1,4.06,3.69,2.97,20
ANG MO KIO AVENUE 2,2020Q3,3.8,3.23,3.02,20
ANG MO KIO AVENUE 2,2019Q3,4.0,3.57,3.04,20
ANG MO KIO AVENUE 2,2020Q1,3.95,3.08,2.88,20
ANG MO KIO AVENUE 2,2019Q2,4.18,3.24,2.96,20
ANG MO KIO AVENUE 2,2020Q4,3.7,3.29,3.04,20
ALEXANDRA VIEW,2020Q4,5.08,4.71,4.58,03
MOUNT SOPHIA,2020Q3,4.26,3.89,3.6,09
MOUNT SOPHIA,2018Q3,5.21,4.93,4.65,09
MOUNT SOPHIA,2018Q1,5.12,4.77,4.62,09
MOUNT SOPHIA,2019Q1,4.92,4.6,4.36,09
MOUNT SOPHIA,2018Q2,5.39,5.08,4.75,09
MOUNT SOPHIA,2018Q4,5.31,4.93,4.65,09
MOUNT SOPHIA,2019Q3,4.79,4.62,3.84,09
MOUNT SOPHIA,2020Q1,4.26,4.06,3.83,09
MOUNT SOPHIA,2019Q2,5.21,4.73,4.44,09
MOUNT SOPHIA,2019Q4,4.32,4.06,3.95,09
MOUNT SOPHIA,2020Q2,4.4,4.18,4.06,09
MOUNT SOPHIA,2020Q4,4.18,3.88,3.63,09
FLORA DRIVE,2018Q1,2.06,1.94,1.82,17
FLORA DRIVE,2018Q3,2.05,1.98,1.83,17
FLORA DRIVE,2018Q2,2.08,1.92,1.85,17
FLORA DRIVE,2018Q4,1.99,1.93,1.91,17
FLORA DRIVE,2019Q1,2.08,2.01,1.87,17
FLORA DRIVE,2019Q3,2.01,1.96,1.91,17
FLORA DRIVE,2020Q1,1.91,1.84,1.78,17
FLORA DRIVE,2019Q2,2.14,1.99,1.94,17
FLORA DRIVE,2019Q4,1.94,1.91,1.86,17
FLORA DRIVE,2020Q3,1.97,1.87,1.79,17
FLORA DRIVE,2020Q2,2.09,1.94,1.8,17
FLORA DRIVE,2020Q4,1.9,1.88,1.77,17
TOH TUCK ROAD,2018Q1,2.18,2.01,1.91,21
TOH TUCK ROAD,2018Q3,2.16,2.04,1.96,21
TOH TUCK ROAD,2018Q2,2.23,2.09,1.95,21
TOH TUCK ROAD,2018Q4,2.21,2.09,1.98,21
TOH TUCK ROAD,2019Q4,2.2,2.12,2.03,21
TOH TUCK ROAD,2020Q2,2.26,2.11,2.01,21
TOH TUCK ROAD,2019Q1,2.18,2.05,1.97,21
TOH TUCK ROAD,2019Q3,2.18,2.06,1.93,21
TOH TUCK ROAD,2020Q1,2.28,2.13,1.96,21
TOH TUCK ROAD,2020Q3,2.2,2.12,1.99,21
TOH TUCK ROAD,2019Q2,2.23,2.09,1.97,21
TOH TUCK ROAD,2020Q4,2.23,2.13,1.99,21
GRANGE ROAD,2018Q1,4.77,4.28,3.72,10
GRANGE ROAD,2018Q3,4.49,4.26,3.98,10
GRANGE ROAD,2019Q3,4.54,4.27,3.88,10
GRANGE ROAD,2020Q1,4.49,4.34,4.17,10
GRANGE ROAD,2019Q2,4.5,4.24,3.95,10
GRANGE ROAD,2020Q3,4.4,4.15,3.81,10
GRANGE ROAD,2020Q2,4.69,4.37,4.15,10
GRANGE ROAD,2020Q4,4.3,4.18,3.86,10
AVA ROAD,2019Q1,2.5,2.45,2.32,12
AVA ROAD,2018Q2,2.53,2.22,1.99,12
AVA ROAD,2020Q1,2.38,2.31,2.21,12
AVA ROAD,2019Q2,2.49,2.33,2.16,12
OCEAN DRIVE,2018Q4,3.74,3.51,3.43,04
OCEAN DRIVE,2018Q1,3.56,3.41,3.14,04
OCEAN DRIVE,2018Q3,3.71,3.5,3.39,04
OCEAN DRIVE,2018Q2,3.55,3.46,3.27,04
OCEAN DRIVE,2019Q4,3.55,3.46,3.4,04
OCEAN DRIVE,2020Q2,3.55,3.46,3.2,04
OCEAN DRIVE,2019Q1,3.64,3.46,3.36,04
OCEAN DRIVE,2020Q3,3.61,3.46,3.32,04
OCEAN DRIVE,2019Q3,3.64,3.46,3.35,04
OCEAN DRIVE,2020Q1,3.61,3.46,3.09,04
OCEAN DRIVE,2019Q2,3.55,3.46,3.27,04
OCEAN DRIVE,2020Q4,3.7,3.55,3.35,04
MEYER ROAD,2020Q3,3.51,3.43,3.22,15
MEYER ROAD,2018Q3,3.47,3.36,3.23,15
MEYER ROAD,2018Q1,3.77,3.48,3.21,15
MEYER ROAD,2019Q1,3.4,3.35,3.23,15
MEYER ROAD,2018Q2,3.52,3.36,3.09,15
MEYER ROAD,2019Q3,3.62,3.57,3.33,15
MEYER ROAD,2020Q1,3.55,3.43,3.23,15
MEYER ROAD,2019Q2,3.6,3.35,3.06,15
MEYER ROAD,2019Q4,3.6,3.5,3.36,15
CENTRAL BOULEVARD,2018Q1,4.39,4.31,3.89,01
CENTRAL BOULEVARD,2018Q3,4.51,4.25,3.99,01
CENTRAL BOULEVARD,2018Q2,4.39,4.24,3.95,01
CENTRAL BOULEVARD,2018Q4,4.31,4.2,4.06,01
CENTRAL BOULEVARD,2020Q2,4.28,4.05,3.91,01
CENTRAL BOULEVARD,2020Q3,4.29,4.1,3.9,01
CENTRAL BOULEVARD,2019Q1,4.36,4.03,3.74,01
CENTRAL BOULEVARD,2019Q3,4.52,4.31,4.04,01
CENTRAL BOULEVARD,2020Q1,4.44,4.27,3.96,01
CENTRAL BOULEVARD,2019Q2,4.4,4.14,3.87,01
CENTRAL BOULEVARD,2019Q4,4.54,4.36,4.17,01
CENTRAL BOULEVARD,2020Q4,4.4,4.19,4.0,01
SPOTTISWOODE PARK ROAD,2018Q4,5.67,5.44,4.82,02
SPOTTISWOODE PARK ROAD,2018Q1,5.97,5.34,4.86,02
SPOTTISWOODE PARK ROAD,2018Q3,5.67,5.51,5.24,02
SPOTTISWOODE PARK ROAD,2018Q2,6.12,5.75,5.45,02
SPOTTISWOODE PARK ROAD,2019Q4,5.79,5.57,5.48,02
SPOTTISWOODE PARK ROAD,2020Q2,5.81,5.53,4.97,02
SPOTTISWOODE PARK ROAD,2019Q1,5.62,5.3,4.85,02
SPOTTISWOODE PARK ROAD,2020Q3,5.81,5.67,4.99,02
SPOTTISWOODE PARK ROAD,2019Q3,5.79,5.67,5.39,02
SPOTTISWOODE PARK ROAD,2020Q1,5.89,5.3,4.99,02
SPOTTISWOODE PARK ROAD,2019Q2,6.23,5.67,5.65,02
SPOTTISWOODE PARK ROAD,2020Q4,5.67,5.3,4.89,02
KIM YAM ROAD,2018Q1,3.04,2.76,2.61,09
KIM YAM ROAD,2018Q3,3.07,2.86,2.69,09
KIM YAM ROAD,2018Q2,3.14,2.76,2.58,09
KIM YAM ROAD,2020Q2,3.22,2.95,2.74,09
KIM YAM ROAD,2020Q3,2.97,2.88,2.71,09
KIM YAM ROAD,2019Q1,3.07,2.94,2.71,09
KIM YAM ROAD,2019Q3,3.26,3.06,2.91,09
KIM YAM ROAD,2019Q2,3.15,3.06,2.93,09
KIM YAM ROAD,2019Q4,3.16,2.98,2.92,09
BUKIT BATOK CENTRAL LINK,2018Q4,3.31,3.1,2.83,23
BUKIT BATOK CENTRAL LINK,2018Q1,3.36,3.23,2.84,23
BUKIT BATOK CENTRAL LINK,2018Q3,3.38,3.15,2.99,23
BUKIT BATOK CENTRAL LINK,2018Q2,3.26,2.94,2.76,23
BUKIT BATOK CENTRAL LINK,2019Q4,2.67,2.51,2.43,23
BUKIT BATOK CENTRAL LINK,2019Q1,3.26,2.89,2.77,23
BUKIT BATOK CENTRAL LINK,2019Q3,3.26,2.99,2.77,23
BUKIT BATOK CENTRAL LINK,2020Q3,2.82,2.76,2.44,23
BUKIT BATOK CENTRAL LINK,2020Q1,2.74,2.64,2.44,23
BUKIT BATOK CENTRAL LINK,2019Q2,3.26,3.07,2.77,23
BUKIT BATOK CENTRAL LINK,2020Q4,2.84,2.67,2.4,23
BENCOOLEN STREET,2018Q1,4.21,3.93,3.66,07
BENCOOLEN STREET,2019Q1,3.89,3.74,3.52,07
BENCOOLEN STREET,2018Q3,3.97,3.74,3.48,07
BENCOOLEN STREET,2018Q2,3.97,3.75,3.39,07
BENCOOLEN STREET,2018Q4,4.13,3.75,3.42,07
BENCOOLEN STREET,2019Q3,3.98,3.82,3.74,07
BENCOOLEN STREET,2020Q1,4.15,3.85,3.69,07
BENCOOLEN STREET,2019Q2,3.93,3.67,3.51,07
BENCOOLEN STREET,2019Q4,4.13,3.85,3.42,07
BENCOOLEN STREET,2020Q3,3.74,3.57,3.42,07
BENCOOLEN STREET,2020Q2,3.93,3.72,3.5,07
BENCOOLEN STREET,2020Q4,3.77,3.59,3.43,07
LORONG 28 GEYLANG,2020Q2,3.77,3.56,3.5,14
WEST COAST CRESCENT,2018Q4,3.54,3.42,3.05,05
WEST COAST CRESCENT,2018Q1,3.55,3.28,3.02,05
WEST COAST CRESCENT,2018Q3,3.55,3.33,3.04,05
WEST COAST CRESCENT,2018Q2,3.46,3.26,3.18,05
WEST COAST CRESCENT,2019Q4,3.67,3.42,3.27,05
WEST COAST CRESCENT,2020Q2,3.76,3.37,3.23,05
WEST COAST CRESCENT,2019Q1,3.34,3.13,3.02,05
WEST COAST CRESCENT,2019Q3,3.48,3.29,3.18,05
WEST COAST CRESCENT,2020Q3,3.36,3.12,2.99,05
WEST COAST CRESCENT,2020Q1,3.55,3.32,3.14,05
WEST COAST CRESCENT,2019Q2,3.55,3.32,3.1,05
WEST COAST CRESCENT,2020Q4,3.67,3.43,3.16,05
LENTOR LOOP,2018Q1,2.51,2.38,2.2,26
LENTOR LOOP,2019Q1,2.61,2.38,2.13,26
LENTOR LOOP,2018Q3,2.53,2.38,2.0,26
LENTOR LOOP,2018Q2,2.61,2.31,2.04,26
LENTOR LOOP,2018Q4,2.42,2.35,2.09,26
LENTOR LOOP,2019Q3,2.61,2.38,2.02,26
LENTOR LOOP,2020Q1,2.48,2.23,2.02,26
LENTOR LOOP,2019Q2,2.53,2.45,2.12,26
LENTOR LOOP,2019Q4,2.42,2.23,2.06,26
LENTOR LOOP,2020Q3,2.38,2.1,1.9,26
LENTOR LOOP,2020Q2,2.35,2.06,1.94,26
LENTOR LOOP,2020Q4,2.57,2.26,1.99,26
THOMSON ROAD,2018Q1,4.24,3.5,3.25,11
THOMSON ROAD,2018Q3,4.09,3.56,3.22,11
THOMSON ROAD,2018Q2,4.02,3.46,3.2,11
THOMSON ROAD,2018Q4,4.29,3.93,3.35,11
THOMSON ROAD,2019Q1,4.36,3.24,3.2,11
THOMSON ROAD,2019Q3,3.6,3.46,3.25,11
THOMSON ROAD,2020Q1,4.14,3.54,3.41,11
THOMSON ROAD,2019Q2,4.47,4.02,3.29,11
THOMSON ROAD,2019Q4,4.24,3.56,3.44,11
THOMSON ROAD,2020Q3,3.37,3.26,3.1,11
THOMSON ROAD,2020Q2,3.5,3.43,3.21,11
THOMSON ROAD,2020Q4,3.89,3.54,3.25,11
LORONG 30 GEYLANG,2020Q2,2.67,2.56,2.42,14
JERVOIS ROAD,2018Q3,3.1,2.88,2.83,10
JERVOIS ROAD,2019Q3,2.95,2.84,2.7,10
JERVOIS ROAD,2020Q1,3.07,2.85,2.59,10
JERVOIS ROAD,2019Q2,3.23,2.94,2.62,10
JERVOIS ROAD,2020Q3,2.91,2.73,2.57,10
JALAN LOKAM,2018Q1,3.42,3.18,2.32,19
JALAN LOKAM,2018Q2,3.42,3.26,2.43,19
JALAN LOKAM,2018Q4,3.95,3.38,2.65,19
JALAN LOKAM,2020Q3,3.42,2.96,2.53,19
JALAN LOKAM,2019Q1,3.42,3.02,2.43,19
JALAN LOKAM,2019Q3,3.44,3.38,3.01,19
JALAN LOKAM,2020Q1,3.59,3.26,2.7,19
JALAN LOKAM,2019Q2,3.5,3.14,2.16,19
JALAN LOKAM,2019Q4,3.59,2.79,2.19,19
JALAN LOKAM,2020Q2,3.5,3.26,2.54,19
JALAN LOKAM,2020Q4,3.92,3.38,2.93,19
HUME AVENUE,2018Q1,2.19,1.98,1.87,21
HUME AVENUE,2018Q3,2.15,2.06,1.93,21
HUME AVENUE,2018Q2,2.09,1.97,1.88,21
HUME AVENUE,2018Q4,2.22,2.02,1.99,21
HUME AVENUE,2020Q3,2.2,2.14,1.93,21
HUME AVENUE,2020Q2,2.16,2.0,1.92,21
HUME AVENUE,2019Q1,2.28,2.09,1.95,21
HUME AVENUE,2019Q3,2.19,2.13,2.02,21
HUME AVENUE,2020Q1,2.23,2.16,1.98,21
HUME AVENUE,2019Q2,2.19,1.96,1.86,21
HUME AVENUE,2019Q4,2.2,2.06,1.96,21
HUME AVENUE,2020Q4,2.42,2.14,1.94,21
DEVONSHIRE ROAD,2019Q3,5.45,5.14,5.14,09
DEVONSHIRE ROAD,2020Q1,5.98,5.49,5.27,09
DEVONSHIRE ROAD,2019Q4,5.45,5.14,4.92,09
DEVONSHIRE ROAD,2020Q3,5.76,5.14,5.0,09
DEVONSHIRE ROAD,2020Q2,5.34,5.14,4.89,09
DEVONSHIRE ROAD,2020Q4,5.51,5.14,4.97,09
BEDOK RIA CRESCENT,2018Q1,2.45,2.32,2.27,16
BEDOK RIA CRESCENT,2020Q3,2.33,1.97,1.86,16
BEDOK RIA CRESCENT,2020Q4,2.46,2.24,2.2,16
MOUNT SINAI DRIVE,2019Q3,3.45,2.61,2.45,10
OLD UPPER THOMSON ROAD,2020Q4,3.61,3.57,3.39,20
PEARL BANK,2018Q1,2.14,1.89,1.67,03
PEARL BANK,2018Q3,2.52,2.16,1.79,03
PEARL BANK,2018Q2,2.66,1.84,1.7,03
TAMAN WARNA,2020Q1,4.97,4.04,3.63,10
TAMAN WARNA,2020Q3,4.76,4.23,3.6,10
TAMAN WARNA,2020Q4,4.65,4.28,3.96,10
PRINCE CHARLES CRESCENT,2018Q4,4.94,4.38,4.21,03
PRINCE CHARLES CRESCENT,2018Q1,4.72,4.32,4.06,03
PRINCE CHARLES CRESCENT,2018Q3,4.71,4.42,4.31,03
PRINCE CHARLES CRESCENT,2018Q2,4.57,4.35,4.04,03
PRINCE CHARLES CRESCENT,2019Q4,4.99,4.68,4.32,03
PRINCE CHARLES CRESCENT,2020Q2,4.8,4.46,4.16,03
PRINCE CHARLES CRESCENT,2019Q1,5.24,4.61,4.28,03
PRINCE CHARLES CRESCENT,2020Q3,4.88,4.43,4.22,03
PRINCE CHARLES CRESCENT,2019Q3,4.97,4.76,4.27,03
PRINCE CHARLES CRESCENT,2020Q1,4.91,4.41,4.23,03
PRINCE CHARLES CRESCENT,2019Q2,5.0,4.74,4.52,03
PRINCE CHARLES CRESCENT,2020Q4,4.7,4.28,3.97,03
PRINSEP LINK,2018Q4,4.65,4.36,3.8,07
PRINSEP LINK,2018Q1,4.28,4.08,3.47,07
PRINSEP LINK,2018Q3,4.29,4.03,3.67,07
PRINSEP LINK,2018Q2,4.36,4.22,3.91,07
PRINSEP LINK,2019Q4,3.93,3.63,3.45,07
PRINSEP LINK,2020Q2,3.95,3.72,3.47,07
PRINSEP LINK,2019Q3,3.92,3.85,3.61,07
PRINSEP LINK,2020Q3,3.78,3.5,2.98,07
PRINSEP LINK,2019Q2,4.22,3.94,3.67,07
PRINSEP LINK,2020Q4,3.8,3.46,3.1,07
HILLVIEW TERRACE,2018Q1,3.61,3.46,3.34,23
HILLVIEW TERRACE,2018Q3,3.65,3.54,3.07,23
HILLVIEW TERRACE,2018Q2,3.54,3.43,3.23,23
HILLVIEW TERRACE,2018Q4,3.76,3.46,3.34,23
HILLVIEW TERRACE,2020Q2,3.57,3.49,3.28,23
HILLVIEW TERRACE,2020Q3,3.68,3.6,3.4,23
HILLVIEW TERRACE,2019Q1,3.58,3.38,3.15,23
HILLVIEW TERRACE,2019Q3,3.61,3.38,3.15,23
HILLVIEW TERRACE,2020Q1,3.61,3.34,3.16,23
HILLVIEW TERRACE,2019Q2,3.6,3.41,2.96,23
HILLVIEW TERRACE,2019Q4,3.65,3.41,3.24,23
HILLVIEW TERRACE,2020Q4,3.75,3.62,3.12,23
YISHUN AVENUE 9,2018Q1,3.33,3.13,2.95,27
YISHUN AVENUE 9,2018Q3,3.15,2.86,2.62,27
YISHUN AVENUE 9,2018Q2,3.15,2.87,2.73,27
YISHUN AVENUE 9,2018Q4,3.06,2.95,2.79,27
YISHUN AVENUE 9,2020Q2,3.1,2.96,2.81,27
YISHUN AVENUE 9,2020Q3,3.07,2.81,2.67,27
YISHUN AVENUE 9,2019Q1,3.17,2.84,2.65,27
YISHUN AVENUE 9,2019Q3,3.15,2.81,2.75,27
YISHUN AVENUE 9,2020Q1,3.39,2.99,2.74,27
YISHUN AVENUE 9,2019Q2,3.03,2.86,2.62,27
YISHUN AVENUE 9,2020Q4,3.3,3.15,3.01,27
AMBER GARDENS,2018Q4,3.58,3.35,3.2,15
AMBER GARDENS,2018Q1,3.5,3.27,3.07,15
AMBER GARDENS,2018Q3,3.54,3.34,3.14,15
AMBER GARDENS,2018Q2,3.72,3.38,3.2,15
AMBER GARDENS,2019Q4,3.43,3.27,3.09,15
AMBER GARDENS,2020Q2,3.7,3.41,3.21,15
AMBER GARDENS,2019Q1,3.35,3.21,3.07,15
AMBER GARDENS,2020Q3,3.44,3.22,3.12,15
AMBER GARDENS,2019Q3,3.46,3.26,3.16,15
AMBER GARDENS,2020Q1,3.61,3.42,3.23,15
AMBER GARDENS,2019Q2,3.45,3.3,3.14,15
AMBER GARDENS,2020Q4,3.58,3.29,3.17,15
JURONG LAKE LINK,2020Q2,4.85,4.42,4.07,22
JURONG LAKE LINK,2020Q3,4.43,3.91,3.6,22
JURONG LAKE LINK,2019Q3,4.24,3.88,3.56,22
JURONG LAKE LINK,2020Q1,4.47,4.14,3.87,22
JURONG LAKE LINK,2019Q2,4.54,4.07,3.48,22
JURONG LAKE LINK,2019Q4,4.5,4.22,4.0,22
JURONG LAKE LINK,2020Q4,4.58,4.11,3.74,22
JOO CHIAT ROAD,2020Q3,3.23,2.98,2.79,15
TANJONG RHU ROAD,2018Q1,3.11,2.98,2.75,15
TANJONG RHU ROAD,2018Q3,3.27,3.11,2.86,15
TANJONG RHU ROAD,2018Q2,3.29,3.06,2.84,15
TANJONG RHU ROAD,2018Q4,3.2,3.06,2.9,15
TANJONG RHU ROAD,2020Q3,3.28,3.12,2.83,15
TANJONG RHU ROAD,2020Q2,3.3,3.17,2.96,15
TANJONG RHU ROAD,2019Q1,3.18,3.05,2.84,15
TANJONG RHU ROAD,2019Q3,3.26,3.08,2.98,15
TANJONG RHU ROAD,2020Q1,3.31,3.16,2.93,15
TANJONG RHU ROAD,2019Q2,3.34,3.17,2.85,15
TANJONG RHU ROAD,2019Q4,3.37,3.17,2.99,15
TANJONG RHU ROAD,2020Q4,3.25,3.08,2.83,15
ANTHONY ROAD,2018Q1,4.72,4.42,4.25,09
ANTHONY ROAD,2018Q3,4.72,4.25,3.94,09
ANTHONY ROAD,2018Q2,4.9,4.29,4.14,09
ANTHONY ROAD,2018Q4,5.01,4.16,3.86,09
ANTHONY ROAD,2020Q2,4.89,4.29,4.06,09
ANTHONY ROAD,2020Q3,4.92,4.09,3.8,09
ANTHONY ROAD,2019Q1,4.61,3.94,3.62,09
ANTHONY ROAD,2019Q3,4.76,4.18,3.97,09
ANTHONY ROAD,2020Q1,4.73,4.54,3.94,09
ANTHONY ROAD,2019Q2,4.68,4.42,4.02,09
ANTHONY ROAD,2019Q4,4.64,4.14,3.93,09
ANTHONY ROAD,2020Q4,4.82,4.08,3.87,09
NEWTON ROAD,2018Q3,4.46,4.31,4.11,11
NEWTON ROAD,2018Q1,4.15,3.83,3.72,11
NEWTON ROAD,2019Q1,4.37,4.11,3.86,11
NEWTON ROAD,2018Q2,4.52,4.27,4.02,11
NEWTON ROAD,2018Q4,4.56,4.11,3.89,11
NEWTON ROAD,2019Q3,4.37,4.19,3.92,11
NEWTON ROAD,2020Q1,3.98,3.88,3.76,11
NEWTON ROAD,2019Q2,4.48,4.35,4.03,11
NEWTON ROAD,2019Q4,4.45,4.26,3.94,11
NEWTON ROAD,2020Q3,4.28,4.11,3.9,11
NEWTON ROAD,2020Q2,4.18,4.02,3.8,11
NEWTON ROAD,2020Q4,4.18,3.87,3.71,11
ARDMORE PARK,2018Q3,5.1,4.88,4.52,10
ARDMORE PARK,2018Q1,5.06,4.88,4.34,10
ARDMORE PARK,2019Q1,5.06,4.88,4.52,10
ARDMORE PARK,2018Q2,5.06,4.48,4.21,10
ARDMORE PARK,2018Q4,5.15,4.99,4.7,10
ARDMORE PARK,2019Q3,5.24,4.88,4.57,10
ARDMORE PARK,2020Q1,5.03,4.77,4.33,10
ARDMORE PARK,2019Q2,5.15,4.79,4.48,10
ARDMORE PARK,2019Q4,4.91,4.68,4.51,10
ARDMORE PARK,2020Q3,4.85,4.51,4.16,10
ARDMORE PARK,2020Q2,4.78,4.33,3.92,10
ARDMORE PARK,2020Q4,4.7,4.47,4.18,10
BALMORAL PARK,2019Q3,2.72,2.32,2.16,10
QUEENSWAY,2018Q2,4.03,3.7,3.43,10
QUEENSWAY,2018Q4,4.24,3.55,3.25,10
QUEENSWAY,2018Q1,3.74,3.48,3.13,10
QUEENSWAY,2018Q3,4.65,3.68,3.38,10
QUEENSWAY,2019Q4,4.54,3.42,3.37,10
QUEENSWAY,2020Q2,3.93,3.72,3.28,10
QUEENSWAY,2020Q3,4.43,3.82,3.12,10
QUEENSWAY,2019Q1,4.09,3.51,3.18,10
QUEENSWAY,2019Q3,3.92,3.5,3.24,10
QUEENSWAY,2020Q1,4.03,3.55,3.16,10
QUEENSWAY,2019Q2,4.24,3.55,3.25,10
QUEENSWAY,2020Q4,3.86,3.36,3.08,10
LOYANG AVENUE,2018Q1,2.06,1.86,1.52,17
LOYANG AVENUE,2018Q3,1.74,1.6,1.51,17
LOYANG AVENUE,2018Q2,1.72,1.63,1.52,17
LOYANG AVENUE,2018Q4,2.21,1.88,1.69,17
LOYANG AVENUE,2020Q2,1.68,1.51,1.44,17
LOYANG AVENUE,2020Q3,1.84,1.59,1.44,17
LOYANG AVENUE,2019Q1,1.8,1.69,1.58,17
LOYANG AVENUE,2019Q3,1.91,1.75,1.55,17
LOYANG AVENUE,2020Q1,1.86,1.68,1.56,17
LOYANG AVENUE,2019Q2,2.06,1.68,1.56,17
LOYANG AVENUE,2019Q4,1.96,1.85,1.69,17
LOYANG AVENUE,2020Q4,1.74,1.58,1.39,17
EAST COAST ROAD,2018Q1,2.8,2.59,2.38,15
EAST COAST ROAD,2018Q3,2.9,2.64,2.48,15
EAST COAST ROAD,2018Q2,2.64,2.53,2.29,15
EAST COAST ROAD,2020Q2,2.37,2.28,2.2,15
EAST COAST ROAD,2020Q3,2.37,2.3,2.13,15
EAST COAST ROAD,2019Q1,2.64,2.35,2.12,15
EAST COAST ROAD,2019Q3,2.9,2.59,2.57,15
EAST COAST ROAD,2020Q1,2.75,2.51,2.15,15
EAST COAST ROAD,2019Q2,2.86,2.53,2.14,15
EAST COAST ROAD,2019Q4,2.46,2.26,2.1,15
EAST COAST ROAD,2020Q4,2.37,2.25,2.15,15
LORONG 42 GEYLANG,2019Q3,2.76,2.57,2.49,14
LORONG 42 GEYLANG,2020Q4,2.74,2.67,2.57,14
GRANGE ROAD,2020Q3,3.24,3.02,2.78,10
SERANGOON AVENUE 3,2018Q1,2.65,2.44,2.29,19
SERANGOON AVENUE 3,2019Q1,2.72,2.44,2.36,19
SERANGOON AVENUE 3,2018Q3,2.81,2.59,2.37,19
SERANGOON AVENUE 3,2018Q2,2.73,2.56,2.3,19
SERANGOON AVENUE 3,2018Q4,2.47,2.4,2.26,19
SERANGOON AVENUE 3,2019Q3,2.64,2.44,2.28,19
SERANGOON AVENUE 3,2020Q1,2.67,2.5,2.38,19
SERANGOON AVENUE 3,2019Q2,2.88,2.72,2.46,19
SERANGOON AVENUE 3,2019Q4,2.6,2.48,2.35,19
SERANGOON AVENUE 3,2020Q3,2.7,2.53,2.41,19
SERANGOON AVENUE 3,2020Q2,2.67,2.48,2.31,19
SERANGOON AVENUE 3,2020Q4,2.69,2.48,2.24,19
OXLEY RISE,2019Q3,4.24,4.07,3.77,09
OXLEY RISE,2019Q4,4.17,4.11,3.76,09
CAIRNHILL CIRCLE,2018Q1,4.81,4.42,4.05,09
CAIRNHILL CIRCLE,2018Q3,4.7,4.31,3.81,09
CAIRNHILL CIRCLE,2018Q2,4.7,4.29,4.18,09
CAIRNHILL CIRCLE,2018Q4,4.96,4.53,4.18,09
CAIRNHILL CIRCLE,2019Q3,5.07,4.59,3.97,09
CAIRNHILL CIRCLE,2020Q1,4.94,4.39,4.15,09
CAIRNHILL CIRCLE,2019Q2,4.67,4.38,4.18,09
CAIRNHILL CIRCLE,2020Q3,4.71,4.32,3.94,09
CAIRNHILL CIRCLE,2020Q2,4.74,4.26,4.08,09
CAIRNHILL CIRCLE,2020Q4,4.53,4.21,3.8,09
CARLISLE ROAD,2020Q1,2.94,2.87,2.79,08
ROBINSON ROAD,2018Q1,5.99,5.86,5.38,01
ROBINSON ROAD,2018Q3,6.36,6.18,5.81,01
ROBINSON ROAD,2018Q2,6.19,5.96,5.54,01
ROBINSON ROAD,2018Q4,6.06,5.82,5.63,01
ROBINSON ROAD,2019Q4,6.09,5.86,5.64,01
ROBINSON ROAD,2020Q2,6.0,5.47,5.33,01
ROBINSON ROAD,2019Q1,5.93,5.57,5.37,01
ROBINSON ROAD,2019Q3,6.23,5.83,5.63,01
ROBINSON ROAD,2020Q1,6.06,5.86,5.57,01
ROBINSON ROAD,2020Q3,5.65,5.55,5.31,01
ROBINSON ROAD,2019Q2,6.19,5.99,5.73,01
ROBINSON ROAD,2020Q4,5.86,5.53,5.16,01
MACKENZIE ROAD,2019Q3,4.75,4.53,4.45,09
MACKENZIE ROAD,2020Q4,4.45,4.16,3.9,09
HAIG ROAD,2018Q1,2.82,2.68,2.59,15
HAIG ROAD,2018Q3,2.75,2.68,2.52,15
HAIG ROAD,2018Q2,2.79,2.64,2.59,15
HAIG ROAD,2018Q4,2.82,2.72,2.61,15
HAIG ROAD,2019Q1,2.81,2.68,2.53,15
HAIG ROAD,2020Q1,2.7,2.55,2.51,15
HAIG ROAD,2019Q2,2.9,2.78,2.67,15
HAIG ROAD,2019Q4,2.77,2.72,2.63,15
HAIG ROAD,2020Q2,2.78,2.68,2.54,15
HAIG ROAD,2020Q4,2.77,2.62,2.5,15
MEYER ROAD,2018Q1,2.72,2.56,2.4,15
MEYER ROAD,2018Q3,2.75,2.4,2.34,15
MEYER ROAD,2018Q2,2.72,2.53,2.46,15
MEYER ROAD,2019Q4,2.76,2.51,2.45,15
MEYER ROAD,2020Q2,2.81,2.7,2.6,15
MEYER ROAD,2019Q3,2.74,2.53,2.47,15
