region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,project,x,y,nettPrice
CCR,OCEAN DRIVE,323.0,06-10,1,1117,3,5020000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,188.0,01-05,1,1017,3,3350000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,217.0,01-05,1,517,3,3800000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,262.0,01-05,1,217,3,4880000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,188.0,06-10,1,1020,3,3000000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,288.0,01-05,1,1218,3,5530000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,444.0,06-10,1,519,3,6520000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,232.0,06-10,1,518,3,4744300,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,444.0,06-10,1,1020,3,5300000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,219.0,06-10,1,1020,3,3400000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,217.0,01-05,1,1120,3,3550000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,244.0,01-05,1,820,3,3850000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,178.0,06-10,1,1120,3,3060000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,OCEAN DRIVE,188.0,01-05,1,221,3,2950000,Condominium,4,Strata,99 yrs lease commencing from 2006,THE COAST AT SENTOSA COVE,1.339804590308104,103.75030822267682,0.0
CCR,CENTRAL BOULEVARD,249.0,41-45,1,716,3,6000000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,150.0,36-40,1,617,3,3050000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,151.0,61-65,1,319,3,3380000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,249.0,11-15,1,1119,3,4680000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,148.0,11-15,1,118,3,3280000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,151.0,36-40,1,819,3,3030000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,249.0,11-15,1,121,3,4800000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,CENTRAL BOULEVARD,249.0,26-30,1,1020,3,5150000,Condominium,1,Strata,99 yrs lease commencing from 2007,MARINA BAY SUITES,1.3484578812372487,103.7851384618465,0.0
CCR,SHENTON WAY,44.0,31-35,1,319,2,1122000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,163.0,41-45,1,121,3,3620660,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,41-45,1,121,3,3428000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,98.0,21-25,1,1220,3,2000000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,82.0,46-50,1,317,1,2000000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,31-35,1,916,1,1160000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,102.0,11-15,1,317,2,1975000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,163.0,36-40,1,1117,1,3505260,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,26-30,1,217,1,1689912,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,11-15,1,117,1,2730000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,45.0,11-15,1,1018,2,1350000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
