street,refPeriod,psf75,median,psf25,district,project,x,y
ELLIOT ROAD,2018Q3,3.17,2.5,2.13,15,ELLIOT AT THE EAST COAST,-1,-1
ELLIOT ROAD,2020Q1,3.0,2.73,2.52,15,ELLIOT AT THE EAST COAST,-1,-1
ELLIOT ROAD,2019Q2,2.83,2.56,2.17,15,ELLIOT AT THE EAST COAST,-1,-1
HILLVIEW AVENUE,2018Q3,2.1,2.01,1.93,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2020Q3,2.01,1.93,1.84,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q1,2.05,1.93,1.86,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q3,2.1,1.93,1.78,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2020Q1,1.94,1.91,1.82,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q2,2.16,2.0,1.86,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q4,2.13,1.95,1.86,23,MERAWOODS,-1,-1
ANG MO KIO AVENUE 2,2018Q4,3.82,3.14,3.0,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q1,3.95,3.05,2.8,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q3,3.57,3.1,2.84,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q2,3.16,2.97,2.8,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q4,3.91,3.39,3.07,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q2,3.95,3.14,2.99,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q1,4.06,3.69,2.97,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q3,3.8,3.23,3.02,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q3,4.0,3.57,3.04,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q1,3.95,3.08,2.88,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q2,4.18,3.24,2.96,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q4,3.7,3.29,3.04,20,THE PANORAMA,-1,-1
ALEXANDRA VIEW,2020Q4,5.08,4.71,4.58,03,ARTRA,-1,-1
MOUNT SOPHIA,2020Q3,4.26,3.89,3.6,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q3,5.21,4.93,4.65,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q1,5.12,4.77,4.62,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q1,4.92,4.6,4.36,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q2,5.39,5.08,4.75,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q4,5.31,4.93,4.65,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q3,4.79,4.62,3.84,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q1,4.26,4.06,3.83,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q2,5.21,4.73,4.44,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q4,4.32,4.06,3.95,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q2,4.4,4.18,4.06,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q4,4.18,3.88,3.63,09,8 @ MOUNT SOPHIA,-1,-1
FLORA DRIVE,2018Q1,2.06,1.94,1.82,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q3,2.05,1.98,1.83,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q2,2.08,1.92,1.85,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q4,1.99,1.93,1.91,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q1,2.08,2.01,1.87,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q3,2.01,1.96,1.91,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q1,1.91,1.84,1.78,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q2,2.14,1.99,1.94,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q4,1.94,1.91,1.86,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q3,1.97,1.87,1.79,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q2,2.09,1.94,1.8,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q4,1.9,1.88,1.77,17,DAHLIA PARK CONDOMINIUM,-1,-1
TOH TUCK ROAD,2018Q1,2.18,2.01,1.91,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q3,2.16,2.04,1.96,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q2,2.23,2.09,1.95,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q4,2.21,2.09,1.98,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q4,2.2,2.12,2.03,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q2,2.26,2.11,2.01,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q1,2.18,2.05,1.97,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q3,2.18,2.06,1.93,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q1,2.28,2.13,1.96,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q3,2.2,2.12,1.99,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q2,2.23,2.09,1.97,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q4,2.23,2.13,1.99,21,SIGNATURE PARK,-1,-1
GRANGE ROAD,2018Q1,4.77,4.28,3.72,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2018Q3,4.49,4.26,3.98,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2019Q3,4.54,4.27,3.88,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q1,4.49,4.34,4.17,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2019Q2,4.5,4.24,3.95,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q3,4.4,4.15,3.81,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q2,4.69,4.37,4.15,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q4,4.3,4.18,3.86,10,CLIVEDEN AT GRANGE,-1,-1
AVA ROAD,2019Q1,2.5,2.45,2.32,12,AVA TOWERS,-1,-1
AVA ROAD,2018Q2,2.53,2.22,1.99,12,AVA TOWERS,-1,-1
AVA ROAD,2020Q1,2.38,2.31,2.21,12,AVA TOWERS,-1,-1
AVA ROAD,2019Q2,2.49,2.33,2.16,12,AVA TOWERS,-1,-1
OCEAN DRIVE,2018Q4,3.74,3.51,3.43,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2018Q1,3.56,3.41,3.14,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2018Q3,3.71,3.5,3.39,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2018Q2,3.55,3.46,3.27,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2019Q4,3.55,3.46,3.4,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2020Q2,3.55,3.46,3.2,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2019Q1,3.64,3.46,3.36,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2020Q3,3.61,3.46,3.32,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2019Q3,3.64,3.46,3.35,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2020Q1,3.61,3.46,3.09,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2019Q2,3.55,3.46,3.27,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2020Q4,3.7,3.55,3.35,04,THE COAST AT SENTOSA COVE,-1,-1
MEYER ROAD,2020Q3,3.51,3.43,3.22,15,AALTO,-1,-1
MEYER ROAD,2018Q3,3.47,3.36,3.23,15,AALTO,-1,-1
MEYER ROAD,2018Q1,3.77,3.48,3.21,15,AALTO,-1,-1
MEYER ROAD,2019Q1,3.4,3.35,3.23,15,AALTO,-1,-1
MEYER ROAD,2018Q2,3.52,3.36,3.09,15,AALTO,-1,-1
MEYER ROAD,2019Q3,3.62,3.57,3.33,15,AALTO,-1,-1
MEYER ROAD,2020Q1,3.55,3.43,3.23,15,AALTO,-1,-1
MEYER ROAD,2019Q2,3.6,3.35,3.06,15,AALTO,-1,-1
MEYER ROAD,2019Q4,3.6,3.5,3.36,15,AALTO,-1,-1
CENTRAL BOULEVARD,2018Q1,4.39,4.31,3.89,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2018Q3,4.51,4.25,3.99,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2018Q2,4.39,4.24,3.95,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2018Q4,4.31,4.2,4.06,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2020Q2,4.28,4.05,3.91,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2020Q3,4.29,4.1,3.9,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2019Q1,4.36,4.03,3.74,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2019Q3,4.52,4.31,4.04,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2020Q1,4.44,4.27,3.96,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2019Q2,4.4,4.14,3.87,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2019Q4,4.54,4.36,4.17,01,MARINA BAY SUITES,-1,-1
CENTRAL BOULEVARD,2020Q4,4.4,4.19,4.0,01,MARINA BAY SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2018Q4,5.67,5.44,4.82,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2018Q1,5.97,5.34,4.86,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2018Q3,5.67,5.51,5.24,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2018Q2,6.12,5.75,5.45,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2019Q4,5.79,5.57,5.48,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2020Q2,5.81,5.53,4.97,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2019Q1,5.62,5.3,4.85,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2020Q3,5.81,5.67,4.99,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2019Q3,5.79,5.67,5.39,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2020Q1,5.89,5.3,4.99,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2019Q2,6.23,5.67,5.65,02,SPOTTISWOODE SUITES,-1,-1
SPOTTISWOODE PARK ROAD,2020Q4,5.67,5.3,4.89,02,SPOTTISWOODE SUITES,-1,-1
KIM YAM ROAD,2018Q1,3.04,2.76,2.61,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2018Q3,3.07,2.86,2.69,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2018Q2,3.14,2.76,2.58,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2020Q2,3.22,2.95,2.74,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2020Q3,2.97,2.88,2.71,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2019Q1,3.07,2.94,2.71,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2019Q3,3.26,3.06,2.91,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2019Q2,3.15,3.06,2.93,09,OLEANAS RESIDENCE,-1,-1
KIM YAM ROAD,2019Q4,3.16,2.98,2.92,09,OLEANAS RESIDENCE,-1,-1
BUKIT BATOK CENTRAL LINK,2018Q4,3.31,3.1,2.83,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2018Q1,3.36,3.23,2.84,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2018Q3,3.38,3.15,2.99,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2018Q2,3.26,2.94,2.76,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2019Q4,2.67,2.51,2.43,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2019Q1,3.26,2.89,2.77,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2019Q3,3.26,2.99,2.77,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2020Q3,2.82,2.76,2.44,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2020Q1,2.74,2.64,2.44,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2019Q2,3.26,3.07,2.77,23,THE JADE,-1,-1
BUKIT BATOK CENTRAL LINK,2020Q4,2.84,2.67,2.4,23,THE JADE,-1,-1
BENCOOLEN STREET,2018Q1,4.21,3.93,3.66,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2019Q1,3.89,3.74,3.52,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2018Q3,3.97,3.74,3.48,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2018Q2,3.97,3.75,3.39,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2018Q4,4.13,3.75,3.42,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2019Q3,3.98,3.82,3.74,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2020Q1,4.15,3.85,3.69,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2019Q2,3.93,3.67,3.51,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2019Q4,4.13,3.85,3.42,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2020Q3,3.74,3.57,3.42,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2020Q2,3.93,3.72,3.5,07,BURLINGTON SQUARE,-1,-1
BENCOOLEN STREET,2020Q4,3.77,3.59,3.43,07,BURLINGTON SQUARE,-1,-1
LORONG 28 GEYLANG,2020Q2,3.77,3.56,3.5,14,EDENZ SUITES,-1,-1
WEST COAST CRESCENT,2018Q4,3.54,3.42,3.05,05,THE VISION,-1,-1
WEST COAST CRESCENT,2018Q1,3.55,3.28,3.02,05,THE VISION,-1,-1
WEST COAST CRESCENT,2018Q3,3.55,3.33,3.04,05,THE VISION,-1,-1
WEST COAST CRESCENT,2018Q2,3.46,3.26,3.18,05,THE VISION,-1,-1
WEST COAST CRESCENT,2019Q4,3.67,3.42,3.27,05,THE VISION,-1,-1
WEST COAST CRESCENT,2020Q2,3.76,3.37,3.23,05,THE VISION,-1,-1
WEST COAST CRESCENT,2019Q1,3.34,3.13,3.02,05,THE VISION,-1,-1
WEST COAST CRESCENT,2019Q3,3.48,3.29,3.18,05,THE VISION,-1,-1
WEST COAST CRESCENT,2020Q3,3.36,3.12,2.99,05,THE VISION,-1,-1
WEST COAST CRESCENT,2020Q1,3.55,3.32,3.14,05,THE VISION,-1,-1
WEST COAST CRESCENT,2019Q2,3.55,3.32,3.1,05,THE VISION,-1,-1
WEST COAST CRESCENT,2020Q4,3.67,3.43,3.16,05,THE VISION,-1,-1
LENTOR LOOP,2018Q1,2.51,2.38,2.2,26,BULLION PARK,-1,-1
LENTOR LOOP,2019Q1,2.61,2.38,2.13,26,BULLION PARK,-1,-1
LENTOR LOOP,2018Q3,2.53,2.38,2.0,26,BULLION PARK,-1,-1
LENTOR LOOP,2018Q2,2.61,2.31,2.04,26,BULLION PARK,-1,-1
LENTOR LOOP,2018Q4,2.42,2.35,2.09,26,BULLION PARK,-1,-1
LENTOR LOOP,2019Q3,2.61,2.38,2.02,26,BULLION PARK,-1,-1
LENTOR LOOP,2020Q1,2.48,2.23,2.02,26,BULLION PARK,-1,-1
LENTOR LOOP,2019Q2,2.53,2.45,2.12,26,BULLION PARK,-1,-1
LENTOR LOOP,2019Q4,2.42,2.23,2.06,26,BULLION PARK,-1,-1
LENTOR LOOP,2020Q3,2.38,2.1,1.9,26,BULLION PARK,-1,-1
LENTOR LOOP,2020Q2,2.35,2.06,1.94,26,BULLION PARK,-1,-1
LENTOR LOOP,2020Q4,2.57,2.26,1.99,26,BULLION PARK,-1,-1
THOMSON ROAD,2018Q1,4.24,3.5,3.25,11,CUBE 8,-1,-1
THOMSON ROAD,2018Q3,4.09,3.56,3.22,11,CUBE 8,-1,-1
THOMSON ROAD,2018Q2,4.02,3.46,3.2,11,CUBE 8,-1,-1
THOMSON ROAD,2018Q4,4.29,3.93,3.35,11,CUBE 8,-1,-1
THOMSON ROAD,2019Q1,4.36,3.24,3.2,11,CUBE 8,-1,-1
THOMSON ROAD,2019Q3,3.6,3.46,3.25,11,CUBE 8,-1,-1
THOMSON ROAD,2020Q1,4.14,3.54,3.41,11,CUBE 8,-1,-1
THOMSON ROAD,2019Q2,4.47,4.02,3.29,11,CUBE 8,-1,-1
THOMSON ROAD,2019Q4,4.24,3.56,3.44,11,CUBE 8,-1,-1
THOMSON ROAD,2020Q3,3.37,3.26,3.1,11,CUBE 8,-1,-1
THOMSON ROAD,2020Q2,3.5,3.43,3.21,11,CUBE 8,-1,-1
THOMSON ROAD,2020Q4,3.89,3.54,3.25,11,CUBE 8,-1,-1
LORONG 30 GEYLANG,2020Q2,2.67,2.56,2.42,14,FENG LAI MANSION,-1,-1
JERVOIS ROAD,2018Q3,3.1,2.88,2.83,10,JERVOIS LODGE,-1,-1
JERVOIS ROAD,2019Q3,2.95,2.84,2.7,10,JERVOIS LODGE,-1,-1
JERVOIS ROAD,2020Q1,3.07,2.85,2.59,10,JERVOIS LODGE,-1,-1
JERVOIS ROAD,2019Q2,3.23,2.94,2.62,10,JERVOIS LODGE,-1,-1
JERVOIS ROAD,2020Q3,2.91,2.73,2.57,10,JERVOIS LODGE,-1,-1
JALAN LOKAM,2018Q1,3.42,3.18,2.32,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2018Q2,3.42,3.26,2.43,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2018Q4,3.95,3.38,2.65,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2020Q3,3.42,2.96,2.53,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2019Q1,3.42,3.02,2.43,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2019Q3,3.44,3.38,3.01,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2020Q1,3.59,3.26,2.7,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2019Q2,3.5,3.14,2.16,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2019Q4,3.59,2.79,2.19,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2020Q2,3.5,3.26,2.54,19,KENSINGTON SQUARE,-1,-1
JALAN LOKAM,2020Q4,3.92,3.38,2.93,19,KENSINGTON SQUARE,-1,-1
HUME AVENUE,2018Q1,2.19,1.98,1.87,21,PARC PALAIS,-1,-1
HUME AVENUE,2018Q3,2.15,2.06,1.93,21,PARC PALAIS,-1,-1
HUME AVENUE,2018Q2,2.09,1.97,1.88,21,PARC PALAIS,-1,-1
HUME AVENUE,2018Q4,2.22,2.02,1.99,21,PARC PALAIS,-1,-1
HUME AVENUE,2020Q3,2.2,2.14,1.93,21,PARC PALAIS,-1,-1
HUME AVENUE,2020Q2,2.16,2.0,1.92,21,PARC PALAIS,-1,-1
HUME AVENUE,2019Q1,2.28,2.09,1.95,21,PARC PALAIS,-1,-1
HUME AVENUE,2019Q3,2.19,2.13,2.02,21,PARC PALAIS,-1,-1
HUME AVENUE,2020Q1,2.23,2.16,1.98,21,PARC PALAIS,-1,-1
HUME AVENUE,2019Q2,2.19,1.96,1.86,21,PARC PALAIS,-1,-1
HUME AVENUE,2019Q4,2.2,2.06,1.96,21,PARC PALAIS,-1,-1
HUME AVENUE,2020Q4,2.42,2.14,1.94,21,PARC PALAIS,-1,-1
DEVONSHIRE ROAD,2019Q3,5.45,5.14,5.14,09,DEVONSHIRE RESIDENCES,-1,-1
DEVONSHIRE ROAD,2020Q1,5.98,5.49,5.27,09,DEVONSHIRE RESIDENCES,-1,-1
DEVONSHIRE ROAD,2019Q4,5.45,5.14,4.92,09,DEVONSHIRE RESIDENCES,-1,-1
DEVONSHIRE ROAD,2020Q3,5.76,5.14,5.0,09,DEVONSHIRE RESIDENCES,-1,-1
DEVONSHIRE ROAD,2020Q2,5.34,5.14,4.89,09,DEVONSHIRE RESIDENCES,-1,-1
DEVONSHIRE ROAD,2020Q4,5.51,5.14,4.97,09,DEVONSHIRE RESIDENCES,-1,-1
BEDOK RIA CRESCENT,2018Q1,2.45,2.32,2.27,16,STRATFORD COURT,-1,-1
BEDOK RIA CRESCENT,2020Q3,2.33,1.97,1.86,16,STRATFORD COURT,-1,-1
BEDOK RIA CRESCENT,2020Q4,2.46,2.24,2.2,16,STRATFORD COURT,-1,-1
MOUNT SINAI DRIVE,2019Q3,3.45,2.61,2.45,10,THE SIERRA,-1,-1
OLD UPPER THOMSON ROAD,2020Q4,3.61,3.57,3.39,20,ADANA @ THOMSON,-1,-1
PEARL BANK,2018Q1,2.14,1.89,1.67,03,PEARL BANK APARTMENT,-1,-1
PEARL BANK,2018Q3,2.52,2.16,1.79,03,PEARL BANK APARTMENT,-1,-1
PEARL BANK,2018Q2,2.66,1.84,1.7,03,PEARL BANK APARTMENT,-1,-1
TAMAN WARNA,2020Q1,4.97,4.04,3.63,10,HOLLAND RESIDENCES,-1,-1
TAMAN WARNA,2020Q3,4.76,4.23,3.6,10,HOLLAND RESIDENCES,-1,-1
TAMAN WARNA,2020Q4,4.65,4.28,3.96,10,HOLLAND RESIDENCES,-1,-1
PRINCE CHARLES CRESCENT,2018Q4,4.94,4.38,4.21,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2018Q1,4.72,4.32,4.06,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2018Q3,4.71,4.42,4.31,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2018Q2,4.57,4.35,4.04,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2019Q4,4.99,4.68,4.32,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2020Q2,4.8,4.46,4.16,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2019Q1,5.24,4.61,4.28,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2020Q3,4.88,4.43,4.22,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2019Q3,4.97,4.76,4.27,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2020Q1,4.91,4.41,4.23,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2019Q2,5.0,4.74,4.52,03,THE CREST,-1,-1
PRINCE CHARLES CRESCENT,2020Q4,4.7,4.28,3.97,03,THE CREST,-1,-1
PRINSEP LINK,2018Q4,4.65,4.36,3.8,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2018Q1,4.28,4.08,3.47,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2018Q3,4.29,4.03,3.67,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2018Q2,4.36,4.22,3.91,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2019Q4,3.93,3.63,3.45,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2020Q2,3.95,3.72,3.47,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2019Q3,3.92,3.85,3.61,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2020Q3,3.78,3.5,2.98,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2019Q2,4.22,3.94,3.67,07,SUNSHINE PLAZA,-1,-1
PRINSEP LINK,2020Q4,3.8,3.46,3.1,07,SUNSHINE PLAZA,-1,-1
HILLVIEW TERRACE,2018Q1,3.61,3.46,3.34,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2018Q3,3.65,3.54,3.07,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2018Q2,3.54,3.43,3.23,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2018Q4,3.76,3.46,3.34,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2020Q2,3.57,3.49,3.28,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2020Q3,3.68,3.6,3.4,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2019Q1,3.58,3.38,3.15,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2019Q3,3.61,3.38,3.15,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2020Q1,3.61,3.34,3.16,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2019Q2,3.6,3.41,2.96,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2019Q4,3.65,3.41,3.24,23,NATURA@HILLVIEW,-1,-1
HILLVIEW TERRACE,2020Q4,3.75,3.62,3.12,23,NATURA@HILLVIEW,-1,-1
YISHUN AVENUE 9,2018Q1,3.33,3.13,2.95,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2018Q3,3.15,2.86,2.62,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2018Q2,3.15,2.87,2.73,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2018Q4,3.06,2.95,2.79,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2020Q2,3.1,2.96,2.81,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2020Q3,3.07,2.81,2.67,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2019Q1,3.17,2.84,2.65,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2019Q3,3.15,2.81,2.75,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2020Q1,3.39,2.99,2.74,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2019Q2,3.03,2.86,2.62,27,NINE RESIDENCES,-1,-1
YISHUN AVENUE 9,2020Q4,3.3,3.15,3.01,27,NINE RESIDENCES,-1,-1
AMBER GARDENS,2018Q4,3.58,3.35,3.2,15,THE ESTA,-1,-1
AMBER GARDENS,2018Q1,3.5,3.27,3.07,15,THE ESTA,-1,-1
AMBER GARDENS,2018Q3,3.54,3.34,3.14,15,THE ESTA,-1,-1
AMBER GARDENS,2018Q2,3.72,3.38,3.2,15,THE ESTA,-1,-1
AMBER GARDENS,2019Q4,3.43,3.27,3.09,15,THE ESTA,-1,-1
