district,propertyType,contractDate,tenure,per_meter_square,typeOfArea
3,Condominium,06-2019,99-years,13803.68,Strata
3,Condominium,02-2019,99-years,14051.72,Strata
3,Condominium,07-2017,99-years,11896.91,Strata
3,Condominium,08-2020,99-years,14482.76,Strata
3,Condominium,01-2020,99-years,13796.3,Strata
3,Condominium,05-2018,99-years,14669.81,Strata
3,Condominium,11-2016,99-years,12924.53,Strata
3,Condominium,10-2017,99-years,12264.15,Strata
3,Condominium,11-2018,99-years,14814.81,Strata
3,Condominium,02-2020,99-years,13966.48,Strata
3,Condominium,12-2017,99-years,13232.76,Strata
3,Condominium,02-2019,99-years,14224.14,Strata
3,Condominium,09-2019,99-years,14698.11,Strata
3,Condominium,03-2020,99-years,14252.34,Strata
3,Condominium,07-2020,99-years,13965.52,Strata
3,Condominium,11-2018,99-years,14482.76,Strata
3,Condominium,01-2021,99-years,14382.72,Strata
5,Apartment,06-2018,Freehold,10049.38,Strata
5,Apartment,04-2016,Freehold,10666.67,Strata
5,Apartment,03-2016,Freehold,9512.2,Strata
5,Apartment,10-2019,Freehold,11764.71,Strata
5,Apartment,07-2019,Freehold,13215.69,Strata
5,Apartment,04-2018,Freehold,11868.13,Strata
5,Terrace,07-2020,Freehold,15209.13,Land
5,Terrace,03-2018,Freehold,14507.77,Land
3,Apartment,11-2020,Freehold,16311.48,Strata
3,Apartment,11-2020,Freehold,15753.42,Strata
3,Apartment,09-2020,Freehold,11985.29,Strata
3,Apartment,11-2020,Freehold,12727.27,Strata
3,Apartment,12-2020,Freehold,16464.29,Strata
3,Apartment,02-2020,Freehold,16170.21,Strata
3,Apartment,03-2016,Freehold,17102.04,Strata
3,Apartment,02-2017,Freehold,15540.54,Strata
3,Apartment,05-2017,Freehold,18888.89,Strata
3,Apartment,10-2016,Freehold,17973.68,Strata
3,Apartment,10-2017,Freehold,18918.92,Strata
3,Apartment,06-2017,Freehold,12682.93,Strata
3,Apartment,08-2016,Freehold,18243.24,Strata
3,Apartment,06-2016,Freehold,19166.67,Strata
3,Apartment,06-2016,Freehold,17947.37,Strata
3,Apartment,03-2017,Freehold,17564.1,Strata
3,Apartment,08-2017,Freehold,18378.38,Strata
3,Apartment,02-2016,Freehold,20138.89,Strata
3,Apartment,05-2018,Freehold,18833.33,Strata
3,Apartment,05-2017,Freehold,15750.0,Strata
3,Apartment,07-2017,Freehold,18805.56,Strata
3,Apartment,09-2017,Freehold,17553.19,Strata
3,Apartment,11-2018,Freehold,18326.53,Strata
3,Apartment,03-2018,Freehold,18289.47,Strata
3,Apartment,06-2017,Freehold,18783.78,Strata
3,Apartment,09-2016,Freehold,17947.37,Strata
3,Apartment,05-2018,Freehold,17241.38,Strata
3,Apartment,12-2017,Freehold,15858.21,Strata
3,Apartment,12-2017,Freehold,19054.05,Strata
3,Apartment,11-2018,Freehold,17553.85,Strata
3,Apartment,05-2016,Freehold,14354.84,Strata
3,Apartment,03-2016,Freehold,13086.42,Strata
3,Apartment,06-2017,Freehold,17916.67,Strata
3,Apartment,05-2018,Freehold,17461.97,Strata
3,Apartment,08-2018,Freehold,17636.36,Strata
3,Apartment,10-2017,Freehold,18918.92,Strata
3,Apartment,05-2017,Freehold,18918.92,Strata
3,Apartment,11-2017,Freehold,19054.05,Strata
3,Apartment,01-2017,Freehold,14843.75,Strata
3,Apartment,06-2019,Freehold,17881.36,Strata
3,Apartment,05-2019,Freehold,12142.86,Strata
3,Apartment,05-2018,Freehold,18333.33,Strata
3,Apartment,12-2018,Freehold,19189.19,Strata
3,Apartment,04-2018,Freehold,14800.0,Strata
3,Apartment,06-2018,Freehold,15422.22,Strata
3,Apartment,09-2019,Freehold,18972.97,Strata
3,Apartment,12-2017,Freehold,16517.08,Strata
3,Apartment,06-2020,Freehold,19189.19,Strata
3,Apartment,12-2018,Freehold,19564.54,Strata
3,Apartment,06-2018,Freehold,18684.21,Strata
3,Apartment,11-2019,Freehold,16964.29,Strata
3,Apartment,08-2018,Freehold,14285.71,Strata
3,Apartment,11-2018,Freehold,19166.67,Strata
3,Apartment,06-2018,Freehold,16194.03,Strata
3,Condominium,03-2018,Freehold,12857.14,Strata
3,Condominium,01-2019,Freehold,13144.33,Strata
3,Condominium,03-2018,Freehold,12723.21,Strata
3,Condominium,12-2017,Freehold,13888.89,Strata
3,Condominium,05-2016,Freehold,13974.36,Strata
3,Condominium,02-2020,Freehold,13402.06,Strata
3,Condominium,11-2019,Freehold,12626.26,Strata
4,Semi-detached,10-2019,Freehold,4159.95,Land
3,Apartment,11-2020,Freehold,20227.27,Strata
3,Apartment,10-2020,Freehold,19230.77,Strata
3,Apartment,10-2020,Freehold,21590.91,Strata
3,Apartment,05-2018,Freehold,19636.36,Strata
3,Apartment,06-2019,Freehold,18181.82,Strata
3,Apartment,12-2017,Freehold,17295.45,Strata
3,Apartment,04-2019,Freehold,17348.48,Strata
3,Apartment,06-2019,Freehold,19450.55,Strata
3,Apartment,06-2018,Freehold,12439.02,Strata
3,Apartment,02-2020,Freehold,12351.54,Strata
3,Apartment,08-2017,Freehold,17803.03,Strata
3,Apartment,04-2019,Freehold,18166.67,Strata
3,Apartment,09-2019,Freehold,20329.67,Strata
3,Apartment,02-2016,Freehold,17803.03,Strata
3,Apartment,08-2018,Freehold,18901.1,Strata
3,Apartment,12-2018,Freehold,16666.67,Strata
3,Apartment,03-2020,Freehold,20454.55,Strata
3,Apartment,01-2021,Freehold,19962.12,Strata
5,Semi-detached,09-2018,Freehold,11641.79,Land
2,Apartment,10-2020,99-years,22343.75,Strata
2,Apartment,09-2020,99-years,21288.89,Strata
2,Apartment,09-2020,99-years,21562.5,Strata
2,Apartment,01-2017,99-years,19375.0,Strata
2,Apartment,12-2017,99-years,21640.63,Strata
2,Apartment,06-2018,99-years,21250.0,Strata
2,Apartment,06-2018,99-years,22333.33,Strata
2,Apartment,03-2018,99-years,22222.22,Strata
2,Apartment,12-2019,99-years,21111.11,Strata
2,Apartment,05-2020,99-years,20333.33,Strata
2,Apartment,11-2019,99-years,22265.63,Strata
2,Apartment,08-2020,99-years,21555.56,Strata
2,Apartment,02-2018,99-years,19718.31,Strata
5,Detached,08-2016,Freehold,9038.04,Land
5,Detached,08-2018,Freehold,9151.65,Land
3,Apartment,07-2020,99-years,21568.97,Strata
3,Apartment,04-2019,99-years,20640.63,Strata
3,Apartment,04-2019,99-years,18736.0,Strata
3,Apartment,06-2020,99-years,19112.0,Strata
3,Apartment,09-2018,99-years,17663.27,Strata
3,Apartment,04-2019,99-years,19147.54,Strata
3,Apartment,07-2018,99-years,18060.24,Strata
3,Apartment,10-2020,99-years,22297.87,Strata
3,Apartment,10-2020,99-years,22425.53,Strata
3,Apartment,10-2020,99-years,22825.4,Strata
3,Apartment,10-2020,99-years,22106.38,Strata
3,Apartment,10-2020,99-years,22936.51,Strata
3,Apartment,10-2020,99-years,21360.66,Strata
3,Apartment,10-2020,99-years,21459.02,Strata
3,Apartment,12-2020,99-years,21360.66,Strata
3,Apartment,12-2020,99-years,23476.19,Strata
3,Apartment,12-2020,99-years,22140.63,Strata
3,Apartment,12-2020,99-years,21256.0,Strata
3,Apartment,12-2020,99-years,21032.0,Strata
3,Apartment,11-2020,99-years,23255.32,Strata
3,Apartment,12-2020,99-years,21079.37,Strata
3,Apartment,08-2018,99-years,19571.43,Strata
3,Apartment,08-2020,99-years,21765.96,Strata
3,Apartment,08-2020,99-years,21872.34,Strata
3,Apartment,08-2020,99-years,22269.84,Strata
3,Apartment,08-2020,99-years,23219.51,Strata
3,Apartment,08-2020,99-years,21948.98,Strata
3,Apartment,07-2018,99-years,21148.94,Strata
3,Apartment,10-2019,99-years,19204.08,Strata
3,Apartment,10-2020,99-years,21163.93,Strata
3,Apartment,10-2020,99-years,22508.47,Strata
3,Apartment,10-2020,99-years,22920.63,Strata
3,Apartment,10-2020,99-years,22610.17,Strata
3,Apartment,10-2020,99-years,21262.3,Strata
3,Apartment,10-2020,99-years,22468.09,Strata
3,Apartment,09-2020,99-years,21262.3,Strata
3,Apartment,10-2020,99-years,16478.99,Strata
3,Apartment,09-2020,99-years,22474.58,Strata
3,Apartment,10-2020,99-years,22617.02,Strata
3,Apartment,10-2020,99-years,22714.29,Strata
3,Apartment,10-2020,99-years,22983.05,Strata
3,Apartment,09-2020,99-years,21328.0,Strata
3,Apartment,10-2020,99-years,21400.0,Strata
3,Apartment,11-2020,99-years,22033.9,Strata
3,Apartment,11-2020,99-years,23126.98,Strata
3,Apartment,11-2020,99-years,23463.41,Strata
3,Apartment,12-2020,99-years,22744.68,Strata
3,Apartment,12-2020,99-years,22680.85,Strata
3,Apartment,01-2021,99-years,23380.95,Strata
3,Apartment,03-2020,99-years,21062.5,Strata
3,Apartment,07-2018,99-years,17633.8,Strata
3,Apartment,08-2020,99-years,21775.86,Strata
3,Apartment,08-2019,99-years,18950.82,Strata
3,Apartment,02-2020,99-years,20562.5,Strata
3,Apartment,03-2020,99-years,20245.9,Strata
3,Apartment,06-2019,99-years,18557.38,Strata
3,Apartment,06-2020,99-years,20016.95,Strata
3,Apartment,06-2020,99-years,20152.54,Strata
3,Apartment,06-2020,99-years,20085.11,Strata
3,Apartment,06-2020,99-years,20595.74,Strata
3,Apartment,06-2020,99-years,21793.65,Strata
3,Apartment,06-2020,99-years,20061.22,Strata
3,Apartment,06-2020,99-years,20692.31,Strata
3,Apartment,10-2018,99-years,20603.17,Strata
3,Apartment,09-2019,99-years,19540.98,Strata
3,Apartment,07-2018,99-years,21054.79,Strata
3,Apartment,05-2019,99-years,20120.69,Strata
3,Apartment,06-2020,99-years,21137.93,Strata
3,Apartment,08-2019,99-years,19465.75,Strata
3,Apartment,04-2020,99-years,20881.36,Strata
3,Apartment,09-2019,99-years,19737.7,Strata
3,Apartment,09-2019,99-years,20265.63,Strata
3,Apartment,09-2018,99-years,18688.52,Strata
3,Apartment,04-2019,99-years,19491.53,Strata
3,Apartment,08-2019,99-years,19559.32,Strata
3,Apartment,04-2019,99-years,19597.56,Strata
3,Apartment,07-2018,99-years,19379.31,Strata
3,Apartment,07-2018,99-years,19809.52,Strata
3,Apartment,07-2018,99-years,17819.28,Strata
3,Apartment,07-2018,99-years,20024.39,Strata
3,Apartment,03-2020,99-years,20639.34,Strata
3,Apartment,08-2019,99-years,21554.22,Strata
3,Apartment,09-2019,99-years,20828.13,Strata
3,Apartment,05-2019,99-years,20765.96,Strata
3,Apartment,07-2018,99-years,20983.05,Strata
3,Apartment,07-2018,99-years,18682.93,Strata
3,Apartment,12-2019,99-years,20491.53,Strata
3,Apartment,11-2020,99-years,20326.53,Strata
3,Apartment,11-2020,99-years,22610.17,Strata
3,Apartment,11-2020,99-years,23380.95,Strata
3,Apartment,11-2020,99-years,21262.3,Strata
3,Apartment,11-2020,99-years,17731.09,Strata
3,Apartment,11-2020,99-years,21459.02,Strata
3,Apartment,09-2020,99-years,21898.31,Strata
3,Apartment,09-2020,99-years,22730.16,Strata
3,Apartment,11-2020,99-years,22212.77,Strata
3,Apartment,11-2020,99-years,23222.22,Strata
3,Apartment,11-2020,99-years,21360.66,Strata
3,Apartment,11-2020,99-years,21459.02,Strata
3,Apartment,11-2020,99-years,20088.0,Strata
3,Apartment,09-2020,99-years,23658.54,Strata
3,Apartment,09-2020,99-years,22234.04,Strata
3,Apartment,09-2020,99-years,21796.61,Strata
3,Apartment,09-2020,99-years,19224.49,Strata
3,Apartment,09-2020,99-years,20416.0,Strata
3,Apartment,09-2020,99-years,20288.0,Strata
3,Apartment,09-2020,99-years,20352.0,Strata
3,Apartment,09-2020,99-years,21612.24,Strata
3,Apartment,09-2020,99-years,24243.9,Strata
3,Apartment,09-2020,99-years,22254.24,Strata
3,Apartment,09-2020,99-years,22106.38,Strata
3,Apartment,09-2020,99-years,22576.27,Strata
3,Apartment,09-2020,99-years,21274.73,Strata
3,Apartment,09-2020,99-years,20664.0,Strata
3,Apartment,09-2020,99-years,20880.0,Strata
3,Apartment,09-2020,99-years,20736.0,Strata
3,Apartment,09-2020,99-years,18968.0,Strata
3,Apartment,10-2020,99-years,21982.76,Strata
3,Apartment,10-2020,99-years,20224.0,Strata
3,Apartment,10-2020,99-years,20808.0,Strata
3,Apartment,10-2020,99-years,21163.93,Strata
3,Apartment,12-2018,99-years,19982.76,Strata
3,Apartment,07-2018,99-years,20349.21,Strata
3,Apartment,07-2018,99-years,18975.61,Strata
3,Apartment,07-2018,99-years,18756.1,Strata
3,Apartment,07-2018,99-years,21142.86,Strata
3,Apartment,07-2018,99-years,19804.88,Strata
3,Apartment,07-2018,99-years,18760.56,Strata
3,Apartment,07-2018,99-years,17512.0,Strata
3,Apartment,07-2018,99-years,17204.08,Strata
3,Apartment,07-2018,99-years,19328.0,Strata
3,Apartment,07-2018,99-years,20975.61,Strata
3,Apartment,02-2019,99-years,18813.56,Strata
3,Apartment,08-2018,99-years,19844.83,Strata
3,Apartment,07-2018,99-years,18829.79,Strata
3,Apartment,11-2018,99-years,17887.76,Strata
3,Apartment,02-2019,99-years,20285.71,Strata
3,Apartment,09-2018,99-years,18734.69,Strata
3,Apartment,07-2018,99-years,18515.63,Strata
3,Apartment,07-2018,99-years,16656.0,Strata
3,Apartment,07-2018,99-years,18265.63,Strata
3,Apartment,07-2018,99-years,19707.32,Strata
3,Apartment,07-2018,99-years,19073.17,Strata
3,Apartment,07-2018,99-years,17530.61,Strata
3,Apartment,07-2018,99-years,18071.43,Strata
3,Apartment,02-2019,99-years,20650.79,Strata
3,Apartment,05-2019,99-years,22365.85,Strata
3,Apartment,07-2018,99-years,18518.07,Strata
3,Apartment,10-2018,99-years,18640.63,Strata
3,Apartment,10-2018,99-years,19406.25,Strata
3,Apartment,07-2018,99-years,17378.05,Strata
3,Apartment,10-2018,99-years,18597.56,Strata
3,Apartment,07-2018,99-years,18746.99,Strata
3,Apartment,11-2019,99-years,22292.68,Strata
3,Apartment,11-2019,99-years,20428.57,Strata
3,Apartment,05-2019,99-years,20464.79,Strata
3,Apartment,07-2018,99-years,19084.51,Strata
3,Apartment,07-2018,99-years,18125.0,Strata
3,Apartment,09-2018,99-years,18491.53,Strata
3,Apartment,07-2018,99-years,19539.68,Strata
3,Apartment,10-2018,99-years,17281.69,Strata
3,Apartment,10-2018,99-years,18873.24,Strata
3,Apartment,07-2018,99-years,19000.0,Strata
3,Apartment,07-2018,99-years,19746.03,Strata
3,Apartment,07-2018,99-years,21317.46,Strata
3,Apartment,07-2018,99-years,18084.51,Strata
3,Apartment,08-2018,99-years,19781.25,Strata
3,Apartment,07-2018,99-years,20780.49,Strata
3,Apartment,01-2019,99-years,18098.9,Strata
3,Apartment,08-2018,99-years,18085.37,Strata
3,Apartment,02-2019,99-years,17112.24,Strata
3,Apartment,07-2018,99-years,20206.35,Strata
3,Apartment,11-2018,99-years,20276.6,Strata
3,Apartment,12-2018,99-years,17459.18,Strata
3,Apartment,07-2018,99-years,18831.33,Strata
3,Apartment,12-2018,99-years,19845.07,Strata
3,Apartment,07-2018,99-years,18136.0,Strata
3,Apartment,07-2018,99-years,17746.99,Strata
3,Apartment,07-2018,99-years,19593.75,Strata
3,Apartment,12-2019,99-years,20750.0,Strata
3,Apartment,07-2018,99-years,17208.0,Strata
3,Apartment,07-2018,99-years,21439.02,Strata
3,Apartment,02-2019,99-years,18754.1,Strata
3,Apartment,07-2018,99-years,19603.17,Strata
3,Apartment,07-2018,99-years,16840.0,Strata
3,Apartment,09-2018,99-years,19659.57,Strata
3,Apartment,07-2018,99-years,18197.18,Strata
3,Apartment,02-2019,99-years,21714.29,Strata
3,Apartment,07-2018,99-years,18794.52,Strata
3,Apartment,04-2019,99-years,19431.03,Strata
3,Apartment,08-2018,99-years,19468.75,Strata
3,Apartment,07-2018,99-years,19097.56,Strata
3,Apartment,07-2018,99-years,18622.95,Strata
3,Apartment,08-2018,99-years,16877.55,Strata
3,Apartment,07-2018,99-years,19902.44,Strata
3,Apartment,07-2018,99-years,19144.58,Strata
3,Apartment,07-2018,99-years,17132.65,Strata
3,Apartment,07-2018,99-years,18827.59,Strata
3,Apartment,07-2018,99-years,17903.61,Strata
3,Apartment,08-2018,99-years,18908.16,Strata
3,Apartment,07-2018,99-years,18549.45,Strata
3,Apartment,03-2019,99-years,16622.45,Strata
3,Apartment,03-2019,99-years,20936.17,Strata
3,Apartment,10-2018,99-years,19172.41,Strata
3,Apartment,07-2018,99-years,19824.15,Strata
3,Apartment,10-2018,99-years,20523.81,Strata
3,Apartment,07-2018,99-years,18390.63,Strata
3,Apartment,07-2018,99-years,19731.71,Strata
3,Apartment,07-2018,99-years,20585.37,Strata
3,Apartment,11-2018,99-years,18000.0,Strata
3,Apartment,07-2018,99-years,18902.44,Strata
3,Apartment,10-2018,99-years,17231.71,Strata
3,Apartment,08-2018,99-years,19396.83,Strata
3,Apartment,07-2018,99-years,21292.68,Strata
3,Apartment,10-2019,99-years,19770.49,Strata
3,Apartment,07-2018,99-years,18309.86,Strata
3,Apartment,07-2018,99-years,18128.0,Strata
3,Apartment,03-2019,99-years,18879.31,Strata
3,Apartment,07-2018,99-years,18574.47,Strata
3,Apartment,03-2019,99-years,18603.45,Strata
3,Apartment,08-2018,99-years,20078.13,Strata
3,Apartment,02-2019,99-years,19288.14,Strata
3,Apartment,08-2018,99-years,17597.56,Strata
3,Apartment,02-2019,99-years,18602.74,Strata
3,Apartment,07-2018,99-years,20042.55,Strata
3,Apartment,12-2018,99-years,18637.36,Strata
3,Apartment,07-2018,99-years,16846.15,Strata
3,Apartment,07-2018,99-years,18187.5,Strata
3,Apartment,04-2019,99-years,18295.08,Strata
3,Apartment,03-2019,99-years,18828.13,Strata
3,Apartment,12-2018,99-years,19281.69,Strata
3,Apartment,10-2018,99-years,18158.54,Strata
3,Apartment,07-2018,99-years,18426.23,Strata
3,Apartment,03-2019,99-years,18931.51,Strata
3,Apartment,11-2018,99-years,20777.78,Strata
3,Apartment,07-2018,99-years,19173.47,Strata
3,Apartment,10-2018,99-years,18926.83,Strata
3,Apartment,07-2018,99-years,17915.49,Strata
3,Apartment,03-2019,99-years,20158.73,Strata
3,Apartment,09-2018,99-years,20128.0,Strata
3,Apartment,10-2018,99-years,18524.39,Strata
3,Apartment,07-2018,99-years,18028.17,Strata
3,Apartment,10-2018,99-years,19281.25,Strata
3,Apartment,09-2018,99-years,18765.63,Strata
3,Apartment,07-2018,99-years,17010.2,Strata
3,Apartment,07-2018,99-years,19777.78,Strata
3,Apartment,09-2018,99-years,19867.47,Strata
3,Apartment,08-2018,99-years,20659.57,Strata
3,Apartment,04-2019,99-years,19929.58,Strata
3,Apartment,07-2018,99-years,19028.17,Strata
3,Apartment,10-2019,99-years,19461.54,Strata
3,Apartment,07-2018,99-years,20219.51,Strata
3,Apartment,08-2018,99-years,18288.14,Strata
3,Apartment,07-2019,99-years,19765.63,Strata
3,Apartment,09-2018,99-years,18468.09,Strata
3,Apartment,10-2018,99-years,17549.3,Strata
3,Apartment,11-2018,99-years,18561.22,Strata
3,Apartment,07-2018,99-years,20000.0,Strata
3,Apartment,04-2019,99-years,18904.0,Strata
3,Apartment,07-2018,99-years,17265.31,Strata
3,Apartment,08-2018,99-years,18640.63,Strata
3,Apartment,03-2019,99-years,19017.24,Strata
3,Apartment,07-2018,99-years,19460.32,Strata
3,Apartment,10-2018,99-years,19382.98,Strata
3,Apartment,07-2018,99-years,20269.84,Strata
3,Apartment,07-2018,99-years,19390.24,Strata
3,Apartment,07-2018,99-years,18491.8,Strata
3,Apartment,02-2019,99-years,20553.19,Strata
3,Apartment,07-2018,99-years,18295.08,Strata
3,Apartment,11-2018,99-years,18752.0,Strata
3,Apartment,12-2018,99-years,18917.81,Strata
3,Apartment,07-2018,99-years,18674.7,Strata
3,Apartment,07-2018,99-years,19248.0,Strata
3,Apartment,08-2018,99-years,19034.48,Strata
3,Apartment,10-2018,99-years,18000.0,Strata
3,Apartment,11-2018,99-years,18928.57,Strata
3,Apartment,10-2018,99-years,19253.52,Strata
3,Apartment,02-2019,99-years,19203.13,Strata
3,Apartment,07-2018,99-years,20512.2,Strata
3,Apartment,07-2018,99-years,20463.41,Strata
3,Apartment,07-2018,99-years,19506.02,Strata
3,Apartment,07-2018,99-years,18647.89,Strata
3,Apartment,07-2019,99-years,21317.07,Strata
3,Apartment,09-2018,99-years,18186.81,Strata
3,Apartment,07-2018,99-years,19706.9,Strata
3,Apartment,07-2019,99-years,19632.65,Strata
3,Apartment,07-2018,99-years,19957.45,Strata
3,Apartment,03-2019,99-years,19602.74,Strata
3,Apartment,10-2018,99-years,18829.79,Strata
3,Apartment,07-2018,99-years,19191.49,Strata
3,Apartment,07-2018,99-years,19829.27,Strata
3,Apartment,07-2018,99-years,18758.62,Strata
3,Apartment,05-2019,99-years,19568.97,Strata
3,Apartment,10-2018,99-years,19574.47,Strata
3,Apartment,02-2019,99-years,18098.36,Strata
3,Apartment,12-2018,99-years,20171.88,Strata
3,Apartment,09-2018,99-years,18042.25,Strata
3,Apartment,09-2019,99-years,20182.93,Strata
3,Apartment,06-2019,99-years,19203.13,Strata
3,Apartment,11-2018,99-years,19343.75,Strata
3,Apartment,07-2018,99-years,16865.85,Strata
3,Apartment,12-2018,99-years,17663.27,Strata
3,Apartment,07-2018,99-years,20365.08,Strata
3,Apartment,09-2018,99-years,19205.48,Strata
3,Apartment,05-2019,99-years,19979.59,Strata
3,Apartment,07-2018,99-years,17032.97,Strata
3,Apartment,08-2018,99-years,19984.38,Strata
3,Apartment,07-2018,99-years,18914.89,Strata
3,Apartment,07-2018,99-years,18744.68,Strata
3,Apartment,07-2018,99-years,17670.73,Strata
3,Apartment,04-2019,99-years,18360.66,Strata
3,Apartment,01-2019,99-years,21926.83,Strata
3,Apartment,08-2018,99-years,16939.02,Strata
3,Apartment,08-2019,99-years,20189.66,Strata
3,Apartment,12-2019,99-years,23382.98,Strata
3,Apartment,05-2019,99-years,18521.13,Strata
3,Apartment,07-2018,99-years,20268.29,Strata
3,Apartment,07-2018,99-years,19676.06,Strata
3,Apartment,08-2018,99-years,18390.63,Strata
3,Apartment,07-2018,99-years,17971.83,Strata
3,Apartment,08-2018,99-years,19468.09,Strata
3,Apartment,03-2019,99-years,16744.9,Strata
3,Apartment,07-2018,99-years,17626.37,Strata
3,Apartment,12-2018,99-years,18183.67,Strata
3,Apartment,12-2019,99-years,20049.18,Strata
3,Apartment,09-2018,99-years,21048.78,Strata
3,Apartment,10-2018,99-years,18744.68,Strata
3,Apartment,07-2018,99-years,19655.17,Strata
3,Apartment,07-2018,99-years,19650.79,Strata
3,Apartment,10-2018,99-years,20095.24,Strata
3,Apartment,08-2018,99-years,18515.63,Strata
3,Apartment,08-2018,99-years,17494.51,Strata
3,Apartment,01-2020,99-years,21372.88,Strata
3,Apartment,07-2019,99-years,20013.7,Strata
3,Apartment,10-2019,99-years,19704.92,Strata
3,Apartment,07-2018,99-years,18464.0,Strata
3,Apartment,03-2019,99-years,18885.25,Strata
3,Apartment,08-2019,99-years,19808.22,Strata
3,Apartment,07-2018,99-years,18703.13,Strata
3,Apartment,07-2018,99-years,19191.49,Strata
3,Apartment,10-2018,99-years,18703.13,Strata
3,Apartment,11-2018,99-years,19775.86,Strata
3,Apartment,07-2018,99-years,18453.13,Strata
3,Apartment,12-2018,99-years,19468.75,Strata
3,Apartment,10-2019,99-years,19704.92,Strata
3,Apartment,07-2018,99-years,20170.21,Strata
3,Apartment,07-2018,99-years,20508.47,Strata
3,Apartment,07-2018,99-years,19586.21,Strata
3,Apartment,02-2019,99-years,18408.45,Strata
3,Apartment,07-2018,99-years,17158.54,Strata
3,Apartment,01-2019,99-years,18953.13,Strata
3,Apartment,10-2018,99-years,18436.62,Strata
3,Apartment,07-2018,99-years,21756.1,Strata
3,Apartment,07-2018,99-years,18382.98,Strata
3,Apartment,09-2018,99-years,19422.54,Strata
3,Apartment,04-2019,99-years,19656.0,Strata
3,Apartment,07-2018,99-years,17448.0,Strata
3,Apartment,07-2018,99-years,19317.07,Strata
3,Apartment,04-2019,99-years,20293.1,Strata
3,Apartment,09-2018,99-years,21873.02,Strata
3,Apartment,03-2019,99-years,20222.22,Strata
3,Apartment,05-2019,99-years,20042.25,Strata
3,Apartment,08-2019,99-years,20609.38,Strata
3,Apartment,10-2018,99-years,19913.79,Strata
3,Apartment,08-2018,99-years,23047.62,Strata
3,Apartment,12-2018,99-years,17959.18,Strata
3,Apartment,07-2018,99-years,19195.12,Strata
3,Apartment,07-2018,99-years,19414.63,Strata
3,Apartment,07-2018,99-years,17817.07,Strata
3,Apartment,02-2019,99-years,20098.59,Strata
3,Apartment,04-2019,99-years,18229.51,Strata
3,Apartment,08-2018,99-years,23926.83,Strata
3,Apartment,07-2018,99-years,18422.54,Strata
3,Apartment,09-2018,99-years,19112.0,Strata
3,Apartment,05-2019,99-years,21457.83,Strata
3,Apartment,09-2018,99-years,18653.06,Strata
3,Apartment,07-2018,99-years,19406.25,Strata
3,Apartment,10-2018,99-years,19121.95,Strata
3,Apartment,06-2020,99-years,20745.76,Strata
3,Apartment,06-2020,99-years,20813.56,Strata
3,Apartment,06-2020,99-years,22809.52,Strata
3,Apartment,06-2020,99-years,21813.56,Strata
3,Apartment,09-2018,99-years,18776.0,Strata
3,Apartment,07-2018,99-years,18360.66,Strata
3,Apartment,07-2018,99-years,19021.28,Strata
3,Apartment,07-2018,99-years,17795.92,Strata
3,Apartment,11-2018,99-years,19448.28,Strata
3,Apartment,09-2018,99-years,19610.17,Strata
3,Apartment,10-2018,99-years,17661.97,Strata
3,Apartment,06-2019,99-years,19021.98,Strata
3,Apartment,08-2018,99-years,22780.49,Strata
3,Apartment,07-2018,99-years,18132.53,Strata
3,Apartment,10-2018,99-years,17428.57,Strata
3,Apartment,07-2018,99-years,19609.76,Strata
3,Apartment,07-2018,99-years,18140.85,Strata
3,Apartment,09-2018,99-years,17296.7,Strata
3,Apartment,08-2019,99-years,19475.41,Strata
3,Apartment,07-2018,99-years,21492.06,Strata
3,Apartment,04-2019,99-years,18494.51,Strata
3,Apartment,05-2019,99-years,20734.38,Strata
3,Apartment,08-2018,99-years,17743.9,Strata
3,Apartment,07-2018,99-years,20793.65,Strata
3,Apartment,04-2019,99-years,18438.36,Strata
3,Apartment,12-2019,99-years,20245.9,Strata
3,Apartment,07-2018,99-years,20619.05,Strata
3,Apartment,11-2018,99-years,18231.71,Strata
3,Apartment,09-2019,99-years,19095.89,Strata
3,Apartment,07-2018,99-years,17336.73,Strata
3,Apartment,07-2018,99-years,20492.06,Strata
3,Apartment,08-2019,99-years,20887.32,Strata
3,Apartment,10-2019,99-years,19640.63,Strata
3,Apartment,07-2018,99-years,19170.73,Strata
3,Apartment,07-2018,99-years,18591.55,Strata
3,Apartment,07-2018,99-years,18384.62,Strata
3,Apartment,07-2018,99-years,19241.38,Strata
3,Apartment,05-2019,99-years,21168.67,Strata
3,Apartment,07-2019,99-years,19016.39,Strata
3,Apartment,07-2018,99-years,19021.28,Strata
3,Apartment,01-2019,99-years,20265.63,Strata
3,Apartment,12-2018,99-years,17394.37,Strata
3,Apartment,09-2018,99-years,19544.0,Strata
3,Apartment,07-2018,99-years,19163.27,Strata
3,Apartment,02-2019,99-years,19520.0,Strata
3,Apartment,12-2018,99-years,19465.75,Strata
3,Apartment,08-2019,99-years,20718.31,Strata
3,Apartment,01-2019,99-years,18328.13,Strata
3,Apartment,10-2018,99-years,17963.41,Strata
3,Apartment,08-2018,99-years,17692.31,Strata
3,Apartment,10-2018,99-years,17591.84,Strata
3,Apartment,05-2019,99-years,19020.41,Strata
3,Apartment,10-2018,99-years,19632.0,Strata
3,Apartment,04-2019,99-years,20183.1,Strata
3,Apartment,07-2019,99-years,19395.6,Strata
3,Apartment,04-2019,99-years,20396.55,Strata
